ID,Municipio,Comunidade,Area,Sexo,Idade,Faixa_Etaria,Escolaridade,Renda,Ocupacao,Tempo_Residencia,Participou_Oficina,Participa_Associacao,Benef_Programa,Forma_Coleta,QV,Saude,Educacao,Transporte,Seguranca,Meio_Ambiente,Agua,Geracao_Renda,Confianca_Empresa,Confianca_PoderPublico,Pertencimento,Conhecimento_Projeto,Transparencia,Participacao_Social,Principal_Preocupacao,Prioridade_Investimento,Canal_Comunicacao,Sugestao
356,Boa Esperança,Santa Rita,Rural,M,44,30-44,Médio,1559,Agricultura,30,Não,Não,Sim,QR Code,2,4,3,2,4,5,4,2,3,3,4,4,3,2,Água,Emprego,Redes Sociais,Aumentar diálogo com comunidades.
357,Serra Azul,Barreiro,Urbana,F,75,60+,Superior,2402,Autônomo,37,Não,Não,Não,Totem,4,4,2,4,2,5,5,5,2,5,3,2,2,2,Emprego,Saúde,Rádio,Melhorar abastecimento de água.
358,Rio Claro,Centro,Urbana,F,42,30-44,Superior,3706,Aposentado,18,Não,Não,Não,Tablet,4,4,5,4,4,4,5,5,2,4,4,2,2,1,Segurança,Emprego,WhatsApp,Melhorar transporte rural.
359,Lagoa Nova,Córrego,Urbana,F,74,60+,Médio,1724,Formal,21,Sim,Não,Não,Tablet,2,4,2,4,3,5,5,2,4,5,4,3,4,3,Emprego,Saúde,WhatsApp,Investir em qualificação profissional.
360,Serra Azul,Barreiro,Rural,M,75,60+,Fundamental,2114,Autônomo,26,Sim,Sim,Não,Tablet,5,4,2,3,4,3,3,2,4,5,4,5,4,3,Água,Saúde,WhatsApp,Investir em qualificação profissional.
361,Serra Azul,Barreiro,Urbana,M,36,30-44,Fundamental,3589,Formal,33,Sim,Não,Não,Tablet,5,4,4,4,4,4,5,4,3,3,5,4,3,3,Segurança,Água,Redes Sociais,Ampliar atendimento de saúde.
362,Boa Esperança,Santa Rita,Urbana,M,29,18-29,Superior,1954,Autônomo,5,Não,Não,Sim,Tablet,3,4,5,4,3,2,5,2,2,2,4,2,2,3,Saúde,Emprego,WhatsApp,Melhorar abastecimento de água.
363,Rio Claro,Centro,Urbana,F,40,30-44,Fundamental,2524,Aposentado,22,Não,Não,Não,Totem,2,4,4,4,4,3,5,2,4,3,3,2,4,1,Segurança,Emprego,Redes Sociais,Ampliar atendimento de saúde.
364,Pedra Branca,Pedreira,Urbana,M,29,18-29,Médio,2572,Aposentado,16,Não,Não,Não,Tablet,2,4,2,4,3,4,5,3,2,3,5,4,2,3,Emprego,Emprego,Lideranças,Melhorar transporte rural.
365,Serra Azul,Barreiro,Urbana,F,72,60+,Fundamental,2792,Autônomo,33,Sim,Não,Não,Tablet,5,4,5,4,2,4,5,4,4,3,3,4,4,3,Saúde,Saúde,WhatsApp,Melhorar transporte rural.
366,Santa Aurora,Lagoa,Rural,F,61,60+,Superior,1864,Autônomo,35,Não,Não,Não,Tablet,3,2,4,2,4,4,3,3,3,3,5,4,3,1,Água,Saúde,Rádio,Aumentar diálogo com comunidades.
367,Vale Verde,Boa Vista,Rural,M,56,45-59,Superior,3487,Agricultura,39,Não,Não,Sim,Tablet,3,3,5,1,3,5,3,4,2,3,4,2,2,2,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
368,Rio Claro,Centro,Urbana,F,55,45-59,Superior,2312,Autônomo,30,Sim,Não,Não,QR Code,5,4,5,4,4,5,5,4,3,2,3,3,3,3,Saúde,Saúde,Lideranças,Ampliar atendimento de saúde.
369,Santa Aurora,Lagoa,Rural,F,35,30-44,Superior,3344,Agricultura,3,Sim,Sim,Não,Totem,5,4,5,3,3,5,2,4,4,5,3,4,4,3,Água,Água,Rádio,Ampliar atendimento de saúde.
370,Vale Verde,Boa Vista,Urbana,F,28,18-29,Médio,1782,Formal,29,Sim,Não,Não,QR Code,5,4,2,4,3,4,5,4,4,3,3,5,4,3,Emprego,Emprego,Redes Sociais,Melhorar abastecimento de água.
371,Santa Aurora,Lagoa,Urbana,M,70,60+,Superior,3475,Formal,31,Não,Sim,Não,Totem,5,4,2,4,2,3,5,2,5,3,4,5,5,3,Segurança,Saúde,Lideranças,Ampliar atendimento de saúde.
372,Vale Verde,Boa Vista,Rural,F,70,60+,Fundamental,2401,Aposentado,39,Não,Não,Não,Totem,5,2,2,3,4,5,3,2,4,4,3,2,4,2,Água,Saúde,Rádio,Aumentar diálogo com comunidades.
373,Vale Verde,Boa Vista,Urbana,M,42,30-44,Médio,3041,Autônomo,2,Não,Não,Não,Tablet,4,4,4,4,4,4,5,3,4,4,3,2,4,3,Segurança,Água,WhatsApp,Aumentar diálogo com comunidades.
374,Lagoa Nova,Córrego,Urbana,M,44,30-44,Fundamental,2487,Aposentado,11,Não,Não,Sim,Totem,5,4,2,4,5,2,5,2,3,2,5,2,3,1,Segurança,Água,WhatsApp,Melhorar abastecimento de água.
375,São Miguel do Norte,São José,Rural,M,69,60+,Superior,3174,Desempregado,43,Não,Não,Não,Tablet,3,3,4,2,3,4,4,2,4,4,4,3,4,2,Água,Saúde,WhatsApp,Aumentar diálogo com comunidades.
376,Pedra Branca,Pedreira,Urbana,F,29,18-29,Médio,1566,Aposentado,9,Não,Não,Não,Tablet,5,4,5,4,5,4,5,2,3,3,4,2,3,2,Segurança,Emprego,WhatsApp,Ampliar atendimento de saúde.
377,Vale Verde,Boa Vista,Rural,F,24,18-29,Superior,2655,Formal,39,Não,Sim,Não,QR Code,5,4,3,1,2,4,4,3,3,3,4,5,3,2,Água,Emprego,Lideranças,Melhorar transporte rural.
378,Lagoa Nova,Córrego,Urbana,M,32,30-44,Médio,2432,Agricultura,39,Não,Sim,Não,Tablet,3,4,2,4,3,2,5,3,4,4,4,5,4,1,Segurança,Educação,Redes Sociais,Melhorar abastecimento de água.
379,São Miguel do Norte,São José,Urbana,F,57,45-59,Médio,2770,Agricultura,21,Sim,Não,Sim,Totem,4,4,3,4,2,3,5,5,3,5,3,3,3,3,Emprego,Saúde,Redes Sociais,Melhorar abastecimento de água.
380,Santa Aurora,Lagoa,Urbana,M,48,45-59,Médio,3094,Aposentado,40,Não,Não,Sim,QR Code,4,4,5,4,2,4,5,2,3,3,4,3,3,1,Emprego,Saúde,Lideranças,Investir em qualificação profissional.
381,Boa Esperança,Santa Rita,Rural,F,27,18-29,Médio,2869,Aposentado,43,Não,Não,Sim,Totem,5,3,3,1,3,4,3,2,3,3,3,4,3,1,Água,Emprego,Lideranças,Melhorar abastecimento de água.
382,Vale Verde,Boa Vista,Urbana,F,68,60+,Médio,1436,Aposentado,59,Não,Não,Sim,Tablet,2,4,5,4,3,3,5,4,2,5,4,2,2,3,Saúde,Saúde,Rádio,Melhorar transporte rural.
383,Boa Esperança,Santa Rita,Urbana,M,29,18-29,Médio,2570,Formal,49,Sim,Não,Não,Tablet,2,4,5,4,5,5,5,2,3,2,4,3,3,3,Segurança,Emprego,Lideranças,Investir em qualificação profissional.
384,Serra Azul,Barreiro,Urbana,M,72,60+,Médio,1680,Formal,23,Não,Não,Sim,QR Code,5,4,2,4,4,2,5,5,4,3,5,2,4,2,Emprego,Saúde,WhatsApp,Investir em qualificação profissional.
385,Rio Claro,Centro,Urbana,M,36,30-44,Médio,3680,Desempregado,19,Não,Sim,Não,QR Code,3,4,3,4,2,4,5,3,5,5,4,3,5,2,Emprego,Emprego,Lideranças,Melhorar transporte rural.
386,Rio Claro,Centro,Urbana,F,18,18-29,Superior,3861,Formal,14,Não,Não,Não,Tablet,3,4,5,4,4,2,5,2,3,3,3,3,3,2,Saúde,Emprego,Redes Sociais,Melhorar abastecimento de água.
387,Lagoa Nova,Córrego,Urbana,M,42,30-44,Superior,2702,Desempregado,45,Não,Sim,Não,QR Code,5,4,5,4,4,5,5,5,4,3,4,3,4,1,Segurança,Água,Rádio,Melhorar transporte rural.
388,Serra Azul,Barreiro,Urbana,M,71,60+,Médio,3585,Aposentado,4,Sim,Não,Não,QR Code,2,4,2,4,4,4,5,5,5,2,5,5,5,3,Saúde,Saúde,Rádio,Aumentar diálogo com comunidades.
389,Pedra Branca,Pedreira,Rural,F,33,30-44,Médio,3592,Autônomo,34,Não,Não,Sim,Totem,2,2,3,2,3,2,2,2,3,4,4,3,3,2,Água,Educação,WhatsApp,Ampliar atendimento de saúde.
390,Santa Aurora,Lagoa,Urbana,M,73,60+,Fundamental,3151,Aposentado,33,Sim,Não,Não,Tablet,4,4,2,4,3,3,5,5,4,4,5,4,4,3,Segurança,Saúde,Lideranças,Investir em qualificação profissional.
391,Lagoa Nova,Córrego,Urbana,M,55,45-59,Superior,2668,Desempregado,8,Sim,Não,Não,QR Code,3,4,3,4,2,3,5,4,3,3,4,4,3,3,Segurança,Saúde,WhatsApp,Melhorar transporte rural.
392,São Miguel do Norte,São José,Urbana,F,53,45-59,Fundamental,2515,Agricultura,39,Não,Não,Não,Totem,4,4,2,4,3,5,5,5,3,4,3,2,3,3,Segurança,Saúde,WhatsApp,Aumentar diálogo com comunidades.
393,Serra Azul,Barreiro,Urbana,M,47,45-59,Superior,2249,Aposentado,57,Sim,Sim,Sim,Totem,2,4,3,4,5,2,5,2,4,2,3,5,4,3,Saúde,Saúde,Lideranças,Melhorar transporte rural.
394,Boa Esperança,Santa Rita,Rural,M,34,30-44,Médio,1402,Agricultura,37,Sim,Não,Não,Tablet,4,4,4,2,3,5,4,2,4,5,5,3,4,3,Água,Educação,Redes Sociais,Ampliar atendimento de saúde.
395,Vale Verde,Boa Vista,Urbana,F,33,30-44,Fundamental,2275,Autônomo,1,Não,Sim,Sim,QR Code,4,4,2,4,4,5,5,5,5,2,4,5,5,2,Saúde,Emprego,WhatsApp,Investir em qualificação profissional.
396,Rio Claro,Centro,Urbana,M,35,30-44,Médio,3916,Formal,39,Sim,Sim,Sim,Tablet,2,4,2,4,2,3,5,5,5,3,3,4,5,3,Segurança,Emprego,Rádio,Investir em qualificação profissional.
397,Vale Verde,Boa Vista,Urbana,F,38,30-44,Médio,2042,Formal,36,Não,Não,Não,Tablet,2,4,3,4,3,3,5,3,2,2,3,2,2,1,Saúde,Emprego,Lideranças,Aumentar diálogo com comunidades.
398,Santa Aurora,Lagoa,Urbana,F,35,30-44,Fundamental,3372,Desempregado,53,Não,Não,Não,Tablet,3,4,4,4,4,4,5,5,2,2,3,4,2,2,Emprego,Emprego,WhatsApp,Aumentar diálogo com comunidades.
399,Lagoa Nova,Córrego,Rural,F,32,30-44,Superior,2452,Formal,23,Não,Não,Não,Totem,2,3,2,3,2,5,2,2,2,3,4,4,2,3,Água,Água,Lideranças,Aumentar diálogo com comunidades.
400,Boa Esperança,Santa Rita,Rural,F,80,60+,Superior,2919,Agricultura,21,Não,Sim,Sim,Tablet,3,3,2,3,3,4,3,2,5,2,3,3,5,2,Água,Saúde,Rádio,Melhorar transporte rural.
401,Lagoa Nova,Córrego,Urbana,F,35,30-44,Médio,3074,Aposentado,40,Não,Não,Sim,Totem,3,4,3,4,4,5,5,2,2,5,4,4,2,3,Saúde,Emprego,Redes Sociais,Aumentar diálogo com comunidades.
402,São Miguel do Norte,São José,Rural,F,29,18-29,Médio,2014,Agricultura,26,Não,Sim,Não,Totem,3,2,4,2,4,5,4,5,3,2,5,3,3,2,Água,Emprego,Lideranças,Ampliar atendimento de saúde.
403,Pedra Branca,Pedreira,Urbana,M,57,45-59,Médio,2829,Formal,21,Não,Não,Não,Totem,5,4,5,4,5,5,5,3,2,5,3,2,2,2,Saúde,Saúde,WhatsApp,Melhorar abastecimento de água.
404,Pedra Branca,Pedreira,Urbana,F,43,30-44,Médio,3418,Desempregado,36,Não,Não,Não,QR Code,4,4,5,4,2,4,5,2,4,3,3,3,4,1,Saúde,Educação,Redes Sociais,Melhorar abastecimento de água.
405,Vale Verde,Boa Vista,Rural,M,79,60+,Fundamental,3207,Formal,13,Não,Não,Não,QR Code,2,4,4,3,3,4,2,3,3,3,4,4,3,1,Água,Saúde,Rádio,Ampliar atendimento de saúde.
406,Pedra Branca,Pedreira,Urbana,M,20,18-29,Médio,3547,Formal,1,Sim,Não,Não,QR Code,5,4,4,4,2,4,5,3,3,3,5,4,3,3,Emprego,Emprego,Redes Sociais,Melhorar abastecimento de água.
407,São Miguel do Norte,São José,Urbana,M,21,18-29,Médio,3105,Aposentado,16,Sim,Não,Não,Tablet,3,4,5,4,5,5,5,3,5,2,3,3,5,3,Emprego,Emprego,Rádio,Aumentar diálogo com comunidades.
408,Lagoa Nova,Córrego,Urbana,M,65,60+,Médio,3277,Formal,36,Não,Não,Sim,Totem,4,4,3,4,2,2,5,3,3,4,4,2,3,1,Segurança,Saúde,Lideranças,Ampliar atendimento de saúde.
409,Pedra Branca,Pedreira,Urbana,M,68,60+,Superior,2412,Desempregado,5,Não,Não,Não,Tablet,4,4,3,4,3,3,5,5,4,5,5,4,4,3,Saúde,Saúde,Rádio,Melhorar transporte rural.
410,Lagoa Nova,Córrego,Urbana,F,69,60+,Médio,2120,Desempregado,39,Sim,Não,Não,Tablet,5,4,3,4,3,5,5,4,4,3,4,5,4,3,Segurança,Saúde,WhatsApp,Aumentar diálogo com comunidades.
411,Boa Esperança,Santa Rita,Rural,M,52,45-59,Fundamental,953,Autônomo,5,Sim,Sim,Não,Totem,3,4,4,3,2,5,2,2,5,3,5,4,5,3,Água,Saúde,Lideranças,Ampliar atendimento de saúde.
412,Boa Esperança,Santa Rita,Rural,F,20,18-29,Médio,2617,Desempregado,11,Não,Não,Sim,Totem,4,3,2,2,3,5,2,2,2,2,3,3,2,1,Água,Emprego,WhatsApp,Melhorar abastecimento de água.
413,Boa Esperança,Santa Rita,Urbana,M,19,18-29,Médio,1236,Formal,15,Sim,Sim,Não,Totem,5,4,5,4,5,4,5,2,4,2,4,5,4,3,Saúde,Emprego,Lideranças,Aumentar diálogo com comunidades.
414,Rio Claro,Centro,Urbana,F,24,18-29,Superior,3969,Autônomo,22,Sim,Não,Não,QR Code,2,4,2,4,4,4,5,3,5,4,3,4,5,3,Saúde,Emprego,Rádio,Ampliar atendimento de saúde.
415,Lagoa Nova,Córrego,Urbana,M,22,18-29,Fundamental,2206,Aposentado,30,Não,Sim,Não,Totem,5,4,4,4,3,3,5,2,4,5,3,4,4,2,Saúde,Emprego,WhatsApp,Melhorar transporte rural.
416,Rio Claro,Centro,Rural,F,58,45-59,Médio,3926,Aposentado,50,Sim,Não,Não,Totem,5,3,3,3,2,5,4,2,3,4,5,5,3,3,Água,Saúde,Redes Sociais,Melhorar transporte rural.
417,Lagoa Nova,Córrego,Urbana,F,19,18-29,Médio,3400,Agricultura,19,Não,Não,Não,Tablet,3,4,3,4,3,3,5,2,3,5,3,4,3,3,Saúde,Emprego,WhatsApp,Investir em qualificação profissional.
418,Boa Esperança,Santa Rita,Rural,F,37,30-44,Fundamental,2273,Autônomo,32,Não,Não,Não,QR Code,2,2,5,3,4,3,4,2,2,2,4,2,2,2,Água,Água,Redes Sociais,Melhorar transporte rural.
419,Vale Verde,Boa Vista,Urbana,M,28,18-29,Fundamental,3470,Desempregado,35,Não,Não,Não,QR Code,5,4,2,4,4,4,5,2,2,4,5,4,2,2,Saúde,Emprego,Rádio,Ampliar atendimento de saúde.
420,Boa Esperança,Santa Rita,Rural,F,26,18-29,Fundamental,2920,Formal,54,Sim,Sim,Não,Tablet,2,2,5,2,4,4,4,2,5,5,4,5,5,3,Água,Emprego,Redes Sociais,Melhorar abastecimento de água.
421,Vale Verde,Boa Vista,Rural,F,77,60+,Superior,2936,Autônomo,55,Não,Não,Não,Tablet,5,2,4,3,5,5,2,2,2,3,4,4,2,3,Água,Saúde,Rádio,Melhorar abastecimento de água.
422,Santa Aurora,Lagoa,Rural,M,48,45-59,Fundamental,2071,Aposentado,3,Não,Não,Não,Tablet,2,4,4,2,4,5,4,3,2,3,3,3,2,3,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
423,Pedra Branca,Pedreira,Rural,M,64,60+,Médio,1669,Aposentado,12,Não,Não,Não,Totem,3,4,2,2,3,2,2,3,2,4,4,2,2,3,Água,Saúde,Redes Sociais,Melhorar transporte rural.
424,Rio Claro,Centro,Urbana,F,24,18-29,Superior,3565,Autônomo,9,Não,Não,Sim,Totem,4,4,2,4,4,4,5,3,2,3,3,4,2,3,Segurança,Emprego,WhatsApp,Melhorar abastecimento de água.
425,Pedra Branca,Pedreira,Urbana,M,66,60+,Médio,1916,Autônomo,6,Não,Não,Não,Totem,3,4,3,4,4,3,5,4,3,4,3,3,3,2,Saúde,Saúde,Rádio,Ampliar atendimento de saúde.
426,Vale Verde,Boa Vista,Urbana,M,50,45-59,Superior,3499,Desempregado,6,Não,Não,Não,Totem,3,4,5,4,3,5,5,2,2,4,5,3,2,3,Segurança,Saúde,WhatsApp,Melhorar transporte rural.
427,Lagoa Nova,Córrego,Rural,M,71,60+,Superior,2060,Agricultura,56,Sim,Sim,Não,Totem,4,2,5,1,4,2,3,3,5,3,3,5,5,3,Água,Saúde,Lideranças,Melhorar transporte rural.
428,Serra Azul,Barreiro,Urbana,M,34,30-44,Médio,1490,Formal,12,Sim,Não,Sim,Totem,4,4,2,4,4,2,5,5,5,3,3,4,5,3,Saúde,Água,Rádio,Ampliar atendimento de saúde.
429,São Miguel do Norte,São José,Urbana,M,33,30-44,Fundamental,3416,Aposentado,11,Não,Não,Não,Totem,5,4,4,4,2,3,5,3,4,3,4,4,4,3,Emprego,Emprego,Lideranças,Melhorar transporte rural.
430,Serra Azul,Barreiro,Urbana,M,64,60+,Fundamental,1636,Agricultura,1,Sim,Não,Não,QR Code,4,4,2,4,3,4,5,5,3,2,5,5,3,3,Segurança,Saúde,Redes Sociais,Melhorar abastecimento de água.
431,Serra Azul,Barreiro,Rural,F,32,30-44,Médio,3257,Agricultura,23,Não,Não,Não,Totem,2,3,2,2,3,5,3,2,3,2,4,2,3,2,Água,Educação,WhatsApp,Melhorar transporte rural.
432,Vale Verde,Boa Vista,Urbana,M,67,60+,Superior,3367,Agricultura,36,Sim,Sim,Não,Totem,3,4,3,4,4,3,5,4,4,2,4,4,4,3,Emprego,Saúde,Rádio,Aumentar diálogo com comunidades.
433,Vale Verde,Boa Vista,Urbana,F,42,30-44,Fundamental,2154,Aposentado,7,Sim,Não,Não,Totem,5,4,5,4,2,4,5,3,4,4,3,3,4,3,Emprego,Educação,Redes Sociais,Ampliar atendimento de saúde.
434,São Miguel do Norte,São José,Rural,M,73,60+,Médio,3241,Aposentado,21,Não,Não,Não,Totem,4,2,2,3,5,5,3,3,3,5,5,2,3,1,Água,Saúde,WhatsApp,Investir em qualificação profissional.
435,Vale Verde,Boa Vista,Rural,M,63,60+,Superior,2033,Autônomo,2,Sim,Não,Sim,Tablet,3,2,5,1,2,5,2,2,4,2,4,4,4,3,Água,Saúde,WhatsApp,Melhorar transporte rural.
436,Vale Verde,Boa Vista,Urbana,M,47,45-59,Médio,3291,Formal,49,Não,Sim,Não,Tablet,4,4,4,4,2,4,5,2,3,5,3,5,3,2,Emprego,Saúde,WhatsApp,Investir em qualificação profissional.
437,Vale Verde,Boa Vista,Rural,F,78,60+,Fundamental,3288,Autônomo,56,Não,Sim,Não,Totem,5,2,5,1,2,5,2,4,3,4,4,4,3,1,Água,Saúde,Lideranças,Aumentar diálogo com comunidades.
438,Santa Aurora,Lagoa,Urbana,M,39,30-44,Superior,3274,Autônomo,46,Sim,Não,Sim,Tablet,3,4,3,4,5,3,5,5,4,2,3,4,4,3,Segurança,Emprego,Lideranças,Aumentar diálogo com comunidades.
439,Boa Esperança,Santa Rita,Urbana,M,25,18-29,Médio,2350,Desempregado,60,Não,Não,Sim,QR Code,4,4,3,4,4,4,5,2,2,2,5,4,2,2,Segurança,Emprego,Lideranças,Aumentar diálogo com comunidades.
440,Vale Verde,Boa Vista,Urbana,M,78,60+,Fundamental,3421,Desempregado,14,Não,Sim,Sim,Totem,4,4,4,4,5,3,5,3,4,2,5,3,4,1,Saúde,Saúde,Lideranças,Investir em qualificação profissional.
441,Vale Verde,Boa Vista,Rural,F,51,45-59,Superior,2026,Agricultura,32,Sim,Sim,Não,Totem,3,4,2,2,2,5,2,3,5,5,4,5,5,3,Água,Saúde,Rádio,Ampliar atendimento de saúde.
442,Pedra Branca,Pedreira,Urbana,F,55,45-59,Superior,3234,Agricultura,45,Não,Não,Sim,QR Code,2,4,3,4,4,4,5,2,4,2,4,3,4,3,Emprego,Saúde,Lideranças,Melhorar abastecimento de água.
443,Boa Esperança,Santa Rita,Urbana,M,71,60+,Médio,966,Aposentado,58,Sim,Sim,Não,Tablet,2,4,5,4,4,4,5,2,5,3,4,5,5,3,Segurança,Saúde,Redes Sociais,Investir em qualificação profissional.
444,Rio Claro,Centro,Rural,M,25,18-29,Superior,3761,Formal,48,Não,Não,Não,QR Code,4,2,3,1,2,2,2,2,3,2,3,2,3,3,Água,Emprego,Rádio,Melhorar abastecimento de água.
445,Serra Azul,Barreiro,Rural,M,47,45-59,Superior,2819,Desempregado,17,Não,Não,Não,QR Code,5,4,3,2,5,4,4,4,2,5,3,3,2,1,Água,Saúde,WhatsApp,Aumentar diálogo com comunidades.
446,Lagoa Nova,Córrego,Urbana,F,76,60+,Médio,2989,Agricultura,7,Não,Não,Não,QR Code,3,4,3,4,3,5,5,5,3,4,4,2,3,2,Segurança,Saúde,WhatsApp,Ampliar atendimento de saúde.
447,Pedra Branca,Pedreira,Urbana,M,66,60+,Fundamental,2889,Formal,34,Sim,Não,Não,QR Code,5,4,5,4,5,4,5,2,5,3,5,3,5,3,Emprego,Saúde,Redes Sociais,Melhorar transporte rural.
448,Rio Claro,Centro,Urbana,F,36,30-44,Médio,2803,Autônomo,13,Não,Sim,Não,QR Code,5,4,3,4,5,2,5,3,3,2,3,5,3,1,Emprego,Educação,Rádio,Investir em qualificação profissional.
449,Rio Claro,Centro,Rural,M,59,45-59,Superior,2613,Desempregado,59,Sim,Não,Não,Tablet,3,3,3,2,3,3,4,2,5,3,4,4,5,3,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
450,Santa Aurora,Lagoa,Urbana,F,23,18-29,Fundamental,1433,Formal,3,Sim,Não,Não,Totem,5,4,3,4,5,4,5,5,4,4,4,3,4,3,Saúde,Emprego,Redes Sociais,Melhorar abastecimento de água.
451,São Miguel do Norte,São José,Urbana,F,40,30-44,Fundamental,3534,Formal,18,Não,Sim,Não,Totem,5,4,4,4,2,3,5,3,5,2,3,5,5,2,Emprego,Educação,Rádio,Aumentar diálogo com comunidades.
452,Lagoa Nova,Córrego,Rural,M,41,30-44,Superior,1725,Autônomo,38,Não,Sim,Não,Tablet,5,2,4,1,3,4,4,2,4,3,3,3,4,3,Água,Emprego,Redes Sociais,Investir em qualificação profissional.
453,Vale Verde,Boa Vista,Rural,F,36,30-44,Fundamental,3282,Agricultura,25,Sim,Não,Não,Tablet,3,3,2,2,5,4,3,3,4,2,4,4,4,3,Água,Educação,Redes Sociais,Investir em qualificação profissional.
454,Serra Azul,Barreiro,Rural,F,29,18-29,Superior,1957,Desempregado,46,Sim,Não,Não,Totem,4,4,4,1,2,5,2,4,5,3,5,3,5,3,Água,Emprego,WhatsApp,Melhorar abastecimento de água.
455,São Miguel do Norte,São José,Urbana,F,37,30-44,Médio,2909,Formal,23,Não,Não,Sim,Totem,2,4,2,4,4,4,5,3,4,5,5,3,4,1,Segurança,Água,Lideranças,Melhorar abastecimento de água.
456,Santa Aurora,Lagoa,Rural,M,34,30-44,Superior,2867,Aposentado,59,Não,Não,Sim,QR Code,4,2,3,3,2,2,3,3,3,5,4,2,3,3,Água,Água,Rádio,Melhorar transporte rural.
457,Rio Claro,Centro,Urbana,M,67,60+,Médio,3190,Formal,57,Não,Não,Não,Totem,5,4,4,4,2,5,5,4,3,3,4,4,3,2,Emprego,Saúde,WhatsApp,Investir em qualificação profissional.
458,Vale Verde,Boa Vista,Rural,F,47,45-59,Superior,3054,Autônomo,45,Não,Não,Sim,QR Code,3,4,2,3,3,4,3,2,2,2,4,2,2,3,Água,Saúde,Lideranças,Investir em qualificação profissional.
459,Serra Azul,Barreiro,Urbana,F,62,60+,Fundamental,1822,Autônomo,37,Não,Não,Não,QR Code,2,4,2,4,5,3,5,3,3,5,5,4,3,3,Saúde,Saúde,WhatsApp,Melhorar abastecimento de água.
460,Rio Claro,Centro,Urbana,F,73,60+,Médio,4013,Formal,27,Não,Sim,Não,Totem,4,4,2,4,2,4,5,2,3,3,4,4,3,3,Saúde,Saúde,Lideranças,Investir em qualificação profissional.
461,Serra Azul,Barreiro,Urbana,M,62,60+,Superior,3466,Agricultura,49,Sim,Não,Não,Totem,4,4,4,4,2,5,5,5,4,2,3,5,4,3,Segurança,Saúde,WhatsApp,Investir em qualificação profissional.
462,Boa Esperança,Santa Rita,Rural,M,35,30-44,Superior,1753,Formal,52,Não,Não,Sim,Tablet,3,4,5,1,3,4,3,2,3,3,4,2,3,2,Água,Água,Redes Sociais,Melhorar transporte rural.
463,Rio Claro,Centro,Urbana,M,40,30-44,Fundamental,3079,Desempregado,37,Não,Sim,Sim,QR Code,5,4,2,4,5,4,5,2,4,3,5,4,4,3,Saúde,Água,Redes Sociais,Melhorar abastecimento de água.
464,Lagoa Nova,Córrego,Urbana,F,32,30-44,Superior,2620,Autônomo,30,Sim,Sim,Sim,Tablet,5,4,3,4,4,2,5,5,5,5,3,4,5,3,Saúde,Emprego,WhatsApp,Ampliar atendimento de saúde.
465,Santa Aurora,Lagoa,Rural,M,23,18-29,Superior,1843,Formal,27,Não,Não,Não,Totem,4,3,3,1,4,4,2,2,3,4,5,2,3,3,Água,Emprego,Rádio,Melhorar transporte rural.
466,Serra Azul,Barreiro,Urbana,F,54,45-59,Fundamental,1431,Agricultura,10,Não,Não,Não,QR Code,4,4,4,4,2,3,5,3,3,2,3,3,3,1,Segurança,Saúde,Rádio,Melhorar abastecimento de água.
467,Serra Azul,Barreiro,Rural,F,66,60+,Superior,1720,Agricultura,13,Não,Sim,Não,QR Code,4,3,4,3,4,2,3,3,3,5,5,3,3,3,Água,Saúde,Rádio,Melhorar abastecimento de água.
468,Santa Aurora,Lagoa,Rural,F,70,60+,Médio,2275,Autônomo,14,Sim,Não,Sim,Totem,4,4,2,3,3,3,3,4,3,2,3,3,3,3,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
469,Lagoa Nova,Córrego,Urbana,F,20,18-29,Médio,1877,Agricultura,12,Não,Não,Sim,Totem,5,4,5,4,2,5,5,3,2,4,3,3,2,2,Emprego,Emprego,Redes Sociais,Investir em qualificação profissional.
470,Vale Verde,Boa Vista,Rural,M,34,30-44,Superior,2731,Aposentado,41,Não,Sim,Não,Totem,3,4,3,1,5,5,4,2,5,3,4,5,5,3,Água,Educação,Rádio,Melhorar transporte rural.
471,São Miguel do Norte,São José,Rural,F,77,60+,Fundamental,1475,Autônomo,42,Não,Sim,Não,QR Code,4,3,5,2,4,4,2,5,3,5,3,5,3,2,Água,Saúde,Redes Sociais,Melhorar abastecimento de água.
472,Santa Aurora,Lagoa,Urbana,F,52,45-59,Superior,2435,Agricultura,48,Não,Não,Não,Totem,4,4,4,4,5,3,5,3,4,3,3,3,4,1,Emprego,Saúde,WhatsApp,Melhorar transporte rural.
473,Boa Esperança,Santa Rita,Urbana,F,49,45-59,Fundamental,2676,Autônomo,39,Não,Não,Não,Totem,5,4,4,4,2,3,5,2,2,2,5,2,2,1,Emprego,Saúde,Rádio,Ampliar atendimento de saúde.
474,Boa Esperança,Santa Rita,Urbana,F,47,45-59,Superior,1834,Aposentado,49,Sim,Não,Não,QR Code,5,4,2,4,2,5,5,2,4,4,5,4,4,3,Emprego,Saúde,WhatsApp,Aumentar diálogo com comunidades.
